Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2004,bihar,bagaha,0
2005,bihar,bagaha,0
2006,bihar,bagaha,0
2007,bihar,bagaha,0
2008,bihar,bagaha,0
2009,bihar,bagaha,0
2010,bihar,bagaha,0
2011,bihar,bagaha,0
2012,bihar,bagaha,0
2013,bihar,bagaha,0
2001,karnataka,bagalkot,0
2002,karnataka,bagalkot,1
2003,karnataka,bagalkot,0
2004,karnataka,bagalkot,0
2005,karnataka,bagalkot,4
2006,karnataka,bagalkot,1
2007,karnataka,bagalkot,3
2008,karnataka,bagalkot,2
2009,karnataka,bagalkot,0
2010,karnataka,bagalkot,0
2011,karnataka,bagalkot,0
2012,karnataka,bagalkot,0
2013,karnataka,bagalkot,2
2001,uttarakhand,bageshwar,0
2002,uttarakhand,bageshwar,0
2003,uttarakhand,bageshwar,0
2004,uttarakhand,bageshwar,0
2005,uttarakhand,bageshwar,1
2006,uttarakhand,bageshwar,0
2007,uttarakhand,bageshwar,2
2008,uttarakhand,bageshwar,4
2009,uttarakhand,bageshwar,1
2010,uttarakhand,bageshwar,1
2011,uttarakhand,bageshwar,1
2012,uttarakhand,bageshwar,0
2013,uttarakhand,bageshwar,1
2001,uttarpradesh,baghpat,12
2002,uttarpradesh,baghpat,16
2003,uttarpradesh,baghpat,45
2004,uttarpradesh,baghpat,22
2005,uttarpradesh,baghpat,19
2006,uttarpradesh,baghpat,24
2007,uttarpradesh,baghpat,22
2008,uttarpradesh,baghpat,8
2009,uttarpradesh,baghpat,20
2010,uttarpradesh,baghpat,0
2011,uttarpradesh,baghpat,0
2012,uttarpradesh,baghpat,0
2013,uttarpradesh,baghpat,0
2001,uttarpradesh,bahraich,17
2002,uttarpradesh,bahraich,8
2003,uttarpradesh,bahraich,271
2004,uttarpradesh,bahraich,35
2005,uttarpradesh,bahraich,38
2006,uttarpradesh,bahraich,15
2007,uttarpradesh,bahraich,25
2008,uttarpradesh,bahraich,22
2009,uttarpradesh,bahraich,27
2010,uttarpradesh,bahraich,1
2011,uttarpradesh,bahraich,0
2012,uttarpradesh,bahraich,0
2013,uttarpradesh,bahraich,0
2001,madhyapradesh,balaghat,12
2002,madhyapradesh,balaghat,14
2003,madhyapradesh,balaghat,32
2004,madhyapradesh,balaghat,19
2005,madhyapradesh,balaghat,17
2006,madhyapradesh,balaghat,10
2007,madhyapradesh,balaghat,9
2008,madhyapradesh,balaghat,11
2009,madhyapradesh,balaghat,4
2010,madhyapradesh,balaghat,14
2011,madhyapradesh,balaghat,7
2012,madhyapradesh,balaghat,11
2013,madhyapradesh,balaghat,10
2001,odisha,balasore,9
2002,odisha,balasore,26
2003,odisha,balasore,25
2004,odisha,balasore,19
2005,odisha,balasore,17
2006,odisha,balasore,26
2007,odisha,balasore,23
2008,odisha,balasore,24
2009,odisha,balasore,22
2010,odisha,balasore,29
2011,odisha,balasore,19
2012,odisha,balasore,20
2013,odisha,balasore,30
2001,uttarpradesh,ballia,22
2002,uttarpradesh,ballia,45
2003,uttarpradesh,ballia,25
2004,uttarpradesh,ballia,13
2005,uttarpradesh,ballia,5
2006,uttarpradesh,ballia,14
2007,uttarpradesh,ballia,10
2008,uttarpradesh,ballia,12
2009,uttarpradesh,ballia,9
2010,uttarpradesh,ballia,0
2011,uttarpradesh,ballia,0
2012,uttarpradesh,ballia,0
2013,uttarpradesh,ballia,0
2001,chhattisgarh,balrampur,0
2001,uttarpradesh,balrampur,11
2002,chhattisgarh,balrampur,3
2002,uttarpradesh,balrampur,5
2003,chhattisgarh,balrampur,3
2003,uttarpradesh,balrampur,45
2004,chhattisgarh,balrampur,23
2004,uttarpradesh,balrampur,13
2005,chhattisgarh,balrampur,5
2005,uttarpradesh,balrampur,4
2006,chhattisgarh,balrampur,0
2006,uttarpradesh,balrampur,3
2007,chhattisgarh,balrampur,0
2007,uttarpradesh,balrampur,4
2008,chhattisgarh,balrampur,0
2008,uttarpradesh,balrampur,10
2009,chhattisgarh,balrampur,26
2009,uttarpradesh,balrampur,6
2010,chhattisgarh,balrampur,29
2010,uttarpradesh,balrampur,0
2011,chhattisgarh,balrampur,0
2011,uttarpradesh,balrampur,0
2012,chhattisgarh,balrampur,2
2012,uttarpradesh,balrampur,0
2013,chhattisgarh,balrampur,2
2013,uttarpradesh,balrampur,0
2001,uttarpradesh,banda,18
2002,uttarpradesh,banda,9
2003,uttarpradesh,banda,17
2004,uttarpradesh,banda,8
2005,uttarpradesh,banda,5
2006,uttarpradesh,banda,6
2007,uttarpradesh,banda,14
2008,uttarpradesh,banda,19
2009,uttarpradesh,banda,11
2010,uttarpradesh,banda,0
2011,uttarpradesh,banda,0
2012,uttarpradesh,banda,0
2013,uttarpradesh,banda,0
2001,karnataka,bangalore_commr.,51
2002,karnataka,bangalore_commr.,62
2003,karnataka,bangalore_commr.,39
2004,karnataka,bangalore_commr.,35
2005,karnataka,bangalore_commr.,39
2006,karnataka,bangalore_commr.,2
2007,karnataka,bangalore_commr.,2
2008,karnataka,bangalore_commr.,1
2009,karnataka,bangalore_commr.,35
2010,karnataka,bangalore_commr.,50
2011,karnataka,bangalore_commr.,40
2012,karnataka,bangalore_commr.,51
2013,karnataka,bangalore_commr.,73
2001,karnataka,bangalore_rural,0
2002,karnataka,bangalore_rural,0
2003,karnataka,bangalore_rural,0
2004,karnataka,bangalore_rural,0
2005,karnataka,bangalore_rural,0
2006,karnataka,bangalore_rural,0
2007,karnataka,bangalore_rural,0
2008,karnataka,bangalore_rural,0
2009,karnataka,bangalore_rural,0
2010,karnataka,bangalore_rural,0
2011,karnataka,bangalore_rural,2
2012,karnataka,bangalore_rural,0
2013,karnataka,bangalore_rural,0
2001,bihar,banka,0
2002,bihar,banka,0
2003,bihar,banka,1
2004,bihar,banka,0
2005,bihar,banka,0
2006,bihar,banka,0
2007,bihar,banka,0
2008,bihar,banka,0
2009,bihar,banka,1
2010,bihar,banka,0
2011,bihar,banka,0
2012,bihar,banka,0
2013,bihar,banka,1
2001,westbengal,bankura,0
2002,westbengal,bankura,0
2003,westbengal,bankura,0
2004,westbengal,bankura,0
2005,westbengal,bankura,0
2006,westbengal,bankura,0
2007,westbengal,bankura,1
2008,westbengal,bankura,1
2009,westbengal,bankura,1
2010,westbengal,bankura,2
2011,westbengal,bankura,1
2012,westbengal,bankura,3
2013,westbengal,bankura,0
2001,rajasthan,banswara,1
2002,rajasthan,banswara,1
2003,rajasthan,banswara,2
2004,rajasthan,banswara,4
2005,rajasthan,banswara,1
2006,rajasthan,banswara,3
2007,rajasthan,banswara,1
2008,rajasthan,banswara,1
2009,rajasthan,banswara,0
2010,rajasthan,banswara,1
2011,rajasthan,banswara,2
2012,rajasthan,banswara,3
2013,rajasthan,banswara,0
2001,uttarpradesh,barabanki,21
2002,uttarpradesh,barabanki,9
2003,uttarpradesh,barabanki,50
2004,uttarpradesh,barabanki,12
2005,uttarpradesh,barabanki,35
2006,uttarpradesh,barabanki,48
2007,uttarpradesh,barabanki,34
2008,uttarpradesh,barabanki,54
2009,uttarpradesh,barabanki,50
2010,uttarpradesh,barabanki,0
2011,uttarpradesh,barabanki,0
2012,uttarpradesh,barabanki,0
2013,uttarpradesh,barabanki,0
2001,odisha,baragarh,2
2002,odisha,baragarh,4
2003,odisha,baragarh,3
2004,odisha,baragarh,11
2005,odisha,baragarh,3
2006,odisha,baragarh,7
2007,odisha,baragarh,5
2008,odisha,baragarh,6
2009,odisha,baragarh,10
2010,odisha,baragarh,23
2011,odisha,baragarh,18
2012,odisha,baragarh,14
2013,odisha,baragarh,14
2001,jammu&kashmir,baramulla,14
2002,jammu&kashmir,baramulla,31
2003,jammu&kashmir,baramulla,23
2004,jammu&kashmir,baramulla,36
2005,jammu&kashmir,baramulla,36
2006,jammu&kashmir,baramulla,21
2007,jammu&kashmir,baramulla,28
2008,jammu&kashmir,baramulla,12
2009,jammu&kashmir,baramulla,25
2010,jammu&kashmir,baramulla,12
2011,jammu&kashmir,baramulla,23
2012,jammu&kashmir,baramulla,23
2013,jammu&kashmir,baramulla,18
2001,rajasthan,baran,5
2002,rajasthan,baran,4
2003,rajasthan,baran,10
2004,rajasthan,baran,5
2005,rajasthan,baran,0
2006,rajasthan,baran,2
2007,rajasthan,baran,1
2008,rajasthan,baran,0
2009,rajasthan,baran,1
2010,rajasthan,baran,2
2011,rajasthan,baran,1
2012,rajasthan,baran,2
2013,rajasthan,baran,0
2001,uttarpradesh,bareilly,40
2002,uttarpradesh,bareilly,54
2003,uttarpradesh,bareilly,78
2004,uttarpradesh,bareilly,73
2005,uttarpradesh,bareilly,74
2006,uttarpradesh,bareilly,64
2007,uttarpradesh,bareilly,99
2008,uttarpradesh,bareilly,89
2009,uttarpradesh,bareilly,96
2010,uttarpradesh,bareilly,0
2011,uttarpradesh,bareilly,0
2012,uttarpradesh,bareilly,0
2013,uttarpradesh,bareilly,0
2001,rajasthan,barmer,0
2002,rajasthan,barmer,0
2003,rajasthan,barmer,0
2004,rajasthan,barmer,0
2005,rajasthan,barmer,0
2006,rajasthan,barmer,0
2007,rajasthan,barmer,0
2008,rajasthan,barmer,0
2009,rajasthan,barmer,0
2010,rajasthan,barmer,0
2011,rajasthan,barmer,0
2012,rajasthan,barmer,0
2013,rajasthan,barmer,0
2001,punjab,barnala,0
2002,punjab,barnala,0
2003,punjab,barnala,0
2004,punjab,barnala,0
2005,punjab,barnala,0
2006,punjab,barnala,0
2007,punjab,barnala,0
2008,punjab,barnala,0
2009,punjab,barnala,0
2010,punjab,barnala,0
2011,punjab,barnala,0
2012,punjab,barnala,0
2013,punjab,barnala,0
2001,assam,barpeta,0
2002,assam,barpeta,0
2003,assam,barpeta,0
2004,assam,barpeta,4
2005,assam,barpeta,0
2006,assam,barpeta,0
2007,assam,barpeta,0
2008,assam,barpeta,0
2009,assam,barpeta,0
2010,assam,barpeta,0
2011,assam,barpeta,0
2012,assam,barpeta,0
2013,assam,barpeta,0
2001,madhyapradesh,barwani,9
2002,madhyapradesh,barwani,9
2003,madhyapradesh,barwani,5
2004,madhyapradesh,barwani,7
2005,madhyapradesh,barwani,17
2006,madhyapradesh,barwani,15
2007,madhyapradesh,barwani,11
2008,madhyapradesh,barwani,3
2009,madhyapradesh,barwani,7
2010,madhyapradesh,barwani,8
2011,madhyapradesh,barwani,5
2012,madhyapradesh,barwani,5
2013,madhyapradesh,barwani,9
2001,uttarpradesh,basti,12
2002,uttarpradesh,basti,20
2003,uttarpradesh,basti,161
2004,uttarpradesh,basti,28
2005,uttarpradesh,basti,20
2006,uttarpradesh,basti,21
2007,uttarpradesh,basti,39
2008,uttarpradesh,basti,15
2009,uttarpradesh,basti,0
2010,uttarpradesh,basti,0
2011,uttarpradesh,basti,0
2012,uttarpradesh,basti,0
2013,uttarpradesh,basti,0
2001,punjab,batala,0
2002,punjab,batala,0
2003,punjab,batala,0
2004,punjab,batala,0
2005,punjab,batala,0
2006,punjab,batala,0
2007,punjab,batala,0
2008,punjab,batala,0
2009,punjab,batala,0
2010,punjab,batala,0
2011,punjab,batala,0
2012,punjab,batala,0
2013,punjab,batala,0
2001,maharashtra,beed,15
2002,maharashtra,beed,7
2003,maharashtra,beed,8
2004,maharashtra,beed,13
2005,maharashtra,beed,15
2006,maharashtra,beed,10
2007,maharashtra,beed,6
2008,maharashtra,beed,11
2009,maharashtra,beed,10
2010,maharashtra,beed,11
2011,maharashtra,beed,14
2012,maharashtra,beed,9
2013,maharashtra,beed,12
2001,bihar,begusarai,0
2002,bihar,begusarai,0
2003,bihar,begusarai,0
2004,bihar,begusarai,0
2005,bihar,begusarai,2
2006,bihar,begusarai,0
2007,bihar,begusarai,0
2008,bihar,begusarai,0
2009,bihar,begusarai,0
2010,bihar,begusarai,0
2011,bihar,begusarai,0
2012,bihar,begusarai,0
2013,bihar,begusarai,0
2001,karnataka,belgaum,0
2002,karnataka,belgaum,0
2003,karnataka,belgaum,4
2004,karnataka,belgaum,0
2005,karnataka,belgaum,0
2006,karnataka,belgaum,2
2007,karnataka,belgaum,2
2008,karnataka,belgaum,9
2009,karnataka,belgaum,3
2010,karnataka,belgaum,8
2011,karnataka,belgaum,4
2012,karnataka,belgaum,9
2013,karnataka,belgaum,12
2001,karnataka,bellary,0
2002,karnataka,bellary,0
2003,karnataka,bellary,0
2004,karnataka,bellary,1
2005,karnataka,bellary,0
2006,karnataka,bellary,0
2007,karnataka,bellary,0
2008,karnataka,bellary,0
2009,karnataka,bellary,0
2010,karnataka,bellary,0
2011,karnataka,bellary,1
2012,karnataka,bellary,0
2013,karnataka,bellary,0
2001,odisha,berhampur,6
2002,odisha,berhampur,1
2003,odisha,berhampur,3
2004,odisha,berhampur,0
2005,odisha,berhampur,6
2006,odisha,berhampur,5
2007,odisha,berhampur,4
2008,odisha,berhampur,9
2009,odisha,berhampur,2
2010,odisha,berhampur,11
2011,odisha,berhampur,12
2012,odisha,berhampur,12
2013,odisha,berhampur,27
2001,bihar,bettiah,0
2002,bihar,bettiah,0
2003,bihar,bettiah,0
2004,bihar,bettiah,0
2005,bihar,bettiah,0
2006,bihar,bettiah,29
2007,bihar,bettiah,0
2008,bihar,bettiah,4
2009,bihar,bettiah,0
2010,bihar,bettiah,0
2011,bihar,bettiah,0
2012,bihar,bettiah,0
2013,bihar,bettiah,0
2001,madhyapradesh,betul,4
2002,madhyapradesh,betul,11
2003,madhyapradesh,betul,11
2004,madhyapradesh,betul,16
2005,madhyapradesh,betul,11
2006,madhyapradesh,betul,25
2007,madhyapradesh,betul,14
2008,madhyapradesh,betul,10
2009,madhyapradesh,betul,15
2010,madhyapradesh,betul,9
2011,madhyapradesh,betul,6
2012,madhyapradesh,betul,15
2013,madhyapradesh,betul,18
2001,bihar,bhabhua,0
2002,bihar,bhabhua,0
2003,bihar,bhabhua,0
2004,bihar,bhabhua,0
2005,bihar,bhabhua,0
2006,bihar,bhabhua,0
2007,bihar,bhabhua,0
2008,bihar,bhabhua,0
2009,bihar,bhabhua,0
2010,bihar,bhabhua,0
2011,bihar,bhabhua,0
2012,bihar,bhabhua,0
2013,bihar,bhabhua,0
2001,odisha,bhadrak,5
2002,odisha,bhadrak,9
2003,odisha,bhadrak,2
2004,odisha,bhadrak,15
2005,odisha,bhadrak,25
2006,odisha,bhadrak,18
2007,odisha,bhadrak,10
2008,odisha,bhadrak,27
2009,odisha,bhadrak,9
2010,odisha,bhadrak,12
2011,odisha,bhadrak,4
2012,odisha,bhadrak,12
2013,odisha,bhadrak,19
2001,bihar,bhagalpur,0
2002,bihar,bhagalpur,0
2003,bihar,bhagalpur,0
2004,bihar,bhagalpur,0
2005,bihar,bhagalpur,0
2006,bihar,bhagalpur,1
2007,bihar,bhagalpur,2
2008,bihar,bhagalpur,5
2009,bihar,bhagalpur,0
2010,bihar,bhagalpur,0
2011,bihar,bhagalpur,0
2012,bihar,bhagalpur,4
2013,bihar,bhagalpur,0
2001,maharashtra,bhandara,37
2002,maharashtra,bhandara,37
2003,maharashtra,bhandara,27
2004,maharashtra,bhandara,39
2005,maharashtra,bhandara,34
2006,maharashtra,bhandara,29
2007,maharashtra,bhandara,27
2008,maharashtra,bhandara,18
2009,maharashtra,bhandara,13
2010,maharashtra,bhandara,12
2011,maharashtra,bhandara,14
2012,maharashtra,bhandara,33
2013,maharashtra,bhandara,41
2001,rajasthan,bharatpur,0
2002,rajasthan,bharatpur,0
2003,rajasthan,bharatpur,0
2004,rajasthan,bharatpur,0
2005,rajasthan,bharatpur,0
2006,rajasthan,bharatpur,0
2007,rajasthan,bharatpur,1
2008,rajasthan,bharatpur,0
2009,rajasthan,bharatpur,0
2010,rajasthan,bharatpur,0
2011,rajasthan,bharatpur,0
2012,rajasthan,bharatpur,0
2013,rajasthan,bharatpur,0
2001,gujarat,bharuch,0
2002,gujarat,bharuch,0
2003,gujarat,bharuch,1
2004,gujarat,bharuch,4
2005,gujarat,bharuch,5
2006,gujarat,bharuch,0
2007,gujarat,bharuch,4
2008,gujarat,bharuch,2
2009,gujarat,bharuch,3
2010,gujarat,bharuch,4
2011,gujarat,bharuch,0
2012,gujarat,bharuch,1
2013,gujarat,bharuch,0
2001,punjab,bhatinda,0
2002,punjab,bhatinda,5
2003,punjab,bhatinda,2
2004,punjab,bhatinda,0
2005,punjab,bhatinda,1
2006,punjab,bhatinda,1
2007,punjab,bhatinda,3
2008,punjab,bhatinda,5
2009,punjab,bhatinda,1
2010,punjab,bhatinda,1
2011,punjab,bhatinda,1
2012,punjab,bhatinda,0
2013,punjab,bhatinda,2
2001,gujarat,bhavnagar,7
2002,gujarat,bhavnagar,7
2003,gujarat,bhavnagar,11
2004,gujarat,bhavnagar,74
2005,gujarat,bhavnagar,33
2006,gujarat,bhavnagar,61
2007,gujarat,bhavnagar,35
2008,gujarat,bhavnagar,51
2009,gujarat,bhavnagar,42
2010,gujarat,bhavnagar,42
2011,gujarat,bhavnagar,33
2012,gujarat,bhavnagar,42
2013,gujarat,bhavnagar,7
2001,rajasthan,bhilwara,3
2002,rajasthan,bhilwara,6
2003,rajasthan,bhilwara,0
2004,rajasthan,bhilwara,6
2005,rajasthan,bhilwara,0
2006,rajasthan,bhilwara,0
2007,rajasthan,bhilwara,1
2008,rajasthan,bhilwara,0
2009,rajasthan,bhilwara,0
2010,rajasthan,bhilwara,1
2011,rajasthan,bhilwara,0
2012,rajasthan,bhilwara,0
2013,rajasthan,bhilwara,0
2001,madhyapradesh,bhind,2
2002,madhyapradesh,bhind,6
2003,madhyapradesh,bhind,0
2004,madhyapradesh,bhind,2
2005,madhyapradesh,bhind,2
2006,madhyapradesh,bhind,1
2007,madhyapradesh,bhind,2
2008,madhyapradesh,bhind,1
2009,madhyapradesh,bhind,13
2010,madhyapradesh,bhind,2
2011,madhyapradesh,bhind,11
2012,madhyapradesh,bhind,7
2013,madhyapradesh,bhind,0
2001,haryana,bhiwani,0
2002,haryana,bhiwani,0
2003,haryana,bhiwani,0
2004,haryana,bhiwani,0
2005,haryana,bhiwani,16
2006,haryana,bhiwani,8
2007,haryana,bhiwani,15
2008,haryana,bhiwani,20
2009,haryana,bhiwani,21
2010,haryana,bhiwani,15
2011,haryana,bhiwani,12
2012,haryana,bhiwani,23
2013,haryana,bhiwani,36
2001,bihar,bhojpur,4
2002,bihar,bhojpur,0
2003,bihar,bhojpur,0
2004,bihar,bhojpur,0
2005,bihar,bhojpur,0
2006,bihar,bhojpur,0
2007,bihar,bhojpur,0
2008,bihar,bhojpur,1
2009,bihar,bhojpur,2
2010,bihar,bhojpur,0
2011,bihar,bhojpur,0
2012,bihar,bhojpur,0
2013,bihar,bhojpur,0
2001,madhyapradesh,bhopal,56
2002,madhyapradesh,bhopal,51
2003,madhyapradesh,bhopal,23
2004,madhyapradesh,bhopal,30
2005,madhyapradesh,bhopal,51
2006,madhyapradesh,bhopal,44
2007,madhyapradesh,bhopal,41
2008,madhyapradesh,bhopal,39
2009,madhyapradesh,bhopal,34
2010,madhyapradesh,bhopal,186
2011,madhyapradesh,bhopal,16
2012,madhyapradesh,bhopal,52
2013,madhyapradesh,bhopal,52
2001,madhyapradesh,bhopal_rly.,3
2002,madhyapradesh,bhopal_rly.,2
2003,madhyapradesh,bhopal_rly.,6
2004,madhyapradesh,bhopal_rly.,1
2005,madhyapradesh,bhopal_rly.,3
2006,madhyapradesh,bhopal_rly.,3
2007,madhyapradesh,bhopal_rly.,5
2008,madhyapradesh,bhopal_rly.,3
2009,madhyapradesh,bhopal_rly.,2
2010,madhyapradesh,bhopal_rly.,3
2011,madhyapradesh,bhopal_rly.,2
2012,madhyapradesh,bhopal_rly.,1
2013,madhyapradesh,bhopal_rly.,4
2001,karnataka,bidar,3
2002,karnataka,bidar,2
2003,karnataka,bidar,3
2004,karnataka,bidar,2
2005,karnataka,bidar,3
2006,karnataka,bidar,2
2007,karnataka,bidar,1
2008,karnataka,bidar,2
2009,karnataka,bidar,0
2010,karnataka,bidar,1
2011,karnataka,bidar,2
2012,karnataka,bidar,2
2013,karnataka,bidar,9
2001,karnataka,bijapur,0
2002,karnataka,bijapur,0
2003,karnataka,bijapur,0
2004,karnataka,bijapur,0
2005,karnataka,bijapur,0
2006,karnataka,bijapur,0
2007,karnataka,bijapur,0
2008,karnataka,bijapur,0
2009,karnataka,bijapur,0
2010,karnataka,bijapur,0
2011,karnataka,bijapur,0
2012,karnataka,bijapur,0
2013,karnataka,bijapur,0
2001,uttarpradesh,bijnor,38
2002,uttarpradesh,bijnor,33
2003,uttarpradesh,bijnor,254
2004,uttarpradesh,bijnor,47
2005,uttarpradesh,bijnor,45
2006,uttarpradesh,bijnor,75
2007,uttarpradesh,bijnor,75
2008,uttarpradesh,bijnor,53
2009,uttarpradesh,bijnor,44
2010,uttarpradesh,bijnor,0
2011,uttarpradesh,bijnor,0
2012,uttarpradesh,bijnor,0
2013,uttarpradesh,bijnor,1
2001,rajasthan,bikaner,0
2002,rajasthan,bikaner,0
2003,rajasthan,bikaner,0
2004,rajasthan,bikaner,0
2005,rajasthan,bikaner,0
2006,rajasthan,bikaner,0
2007,rajasthan,bikaner,0
2008,rajasthan,bikaner,0
2009,rajasthan,bikaner,0
2010,rajasthan,bikaner,0
2011,rajasthan,bikaner,0
2012,rajasthan,bikaner,0
2013,rajasthan,bikaner,0
2001,chhattisgarh,bilaspur,10
2001,himachalpradesh,bilaspur,1
2002,chhattisgarh,bilaspur,10
2002,himachalpradesh,bilaspur,1
2003,chhattisgarh,bilaspur,3
2003,himachalpradesh,bilaspur,2
2004,chhattisgarh,bilaspur,8
2004,himachalpradesh,bilaspur,0
2005,chhattisgarh,bilaspur,19
2005,himachalpradesh,bilaspur,0
2006,chhattisgarh,bilaspur,13
2006,himachalpradesh,bilaspur,3
2007,chhattisgarh,bilaspur,8
2007,himachalpradesh,bilaspur,1
2008,chhattisgarh,bilaspur,4
2008,himachalpradesh,bilaspur,5
2009,chhattisgarh,bilaspur,17
2009,himachalpradesh,bilaspur,4
2010,chhattisgarh,bilaspur,18
2010,himachalpradesh,bilaspur,6
2011,chhattisgarh,bilaspur,4
2011,himachalpradesh,bilaspur,9
2012,chhattisgarh,bilaspur,11
2012,himachalpradesh,bilaspur,12
2013,chhattisgarh,bilaspur,10
2013,himachalpradesh,bilaspur,23
2001,westbengal,birbhum,0
2002,westbengal,birbhum,0
2003,westbengal,birbhum,0
2004,westbengal,birbhum,0
2005,westbengal,birbhum,0
2006,westbengal,birbhum,2
2007,westbengal,birbhum,0
2008,westbengal,birbhum,0
2009,westbengal,birbhum,0
2010,westbengal,birbhum,0
2011,westbengal,birbhum,0
2012,westbengal,birbhum,0
2013,westbengal,birbhum,0
2001,manipur,bishnupur,0
2002,manipur,bishnupur,0
2003,manipur,bishnupur,0
2004,manipur,bishnupur,0
2005,manipur,bishnupur,0
2006,manipur,bishnupur,0
2007,manipur,bishnupur,0
2008,manipur,bishnupur,0
2009,manipur,bishnupur,0
2010,manipur,bishnupur,0
2011,manipur,bishnupur,0
2012,manipur,bishnupur,0
2013,manipur,bishnupur,0
2001,chhattisgarh,bizapur,0
2002,chhattisgarh,bizapur,0
2003,chhattisgarh,bizapur,0
2004,chhattisgarh,bizapur,0
2005,chhattisgarh,bizapur,0
2006,chhattisgarh,bizapur,0
2007,chhattisgarh,bizapur,0
2008,chhattisgarh,bizapur,0
2009,chhattisgarh,bizapur,0
2010,chhattisgarh,bizapur,0
2011,chhattisgarh,bizapur,0
2012,chhattisgarh,bizapur,0
2013,chhattisgarh,bizapur,1
2001,jharkhand,bokaro,2
2002,jharkhand,bokaro,0
2003,jharkhand,bokaro,0
2004,jharkhand,bokaro,0
2005,jharkhand,bokaro,7
2006,jharkhand,bokaro,0
2007,jharkhand,bokaro,0
2008,jharkhand,bokaro,2
2009,jharkhand,bokaro,0
2010,jharkhand,bokaro,0
2011,jharkhand,bokaro,0
2012,jharkhand,bokaro,0
2013,jharkhand,bokaro,0
2001,odisha,bolangir,11
2002,odisha,bolangir,15
2003,odisha,bolangir,5
2004,odisha,bolangir,6
2005,odisha,bolangir,10
2006,odisha,bolangir,14
2007,odisha,bolangir,6
2008,odisha,bolangir,8
2009,odisha,bolangir,10
2010,odisha,bolangir,9
2011,odisha,bolangir,4
2012,odisha,bolangir,15
2013,odisha,bolangir,8
2001,assam,bongaigaon,0
2002,assam,bongaigaon,0
2003,assam,bongaigaon,0
2004,assam,bongaigaon,0
2005,assam,bongaigaon,0
2006,assam,bongaigaon,0
2007,assam,bongaigaon,0
2008,assam,bongaigaon,0
2009,assam,bongaigaon,0
2010,assam,bongaigaon,0
2011,assam,bongaigaon,0
2012,assam,bongaigaon,0
2013,assam,bongaigaon,0
2001,odisha,boudh,3
2002,odisha,boudh,3
2003,odisha,boudh,1
2004,odisha,boudh,1
2005,odisha,boudh,2
2006,odisha,boudh,6
2007,odisha,boudh,1
2008,odisha,boudh,3
2009,odisha,boudh,0
2010,odisha,boudh,2
2011,odisha,boudh,5
2012,odisha,boudh,6
2013,odisha,boudh,8
2001,jammu&kashmir,budgam,9
2002,jammu&kashmir,budgam,13
2003,jammu&kashmir,budgam,12
2004,jammu&kashmir,budgam,14
2005,jammu&kashmir,budgam,17
2006,jammu&kashmir,budgam,14
2007,jammu&kashmir,budgam,31
2008,jammu&kashmir,budgam,29
2009,jammu&kashmir,budgam,34
2010,jammu&kashmir,budgam,34
2011,jammu&kashmir,budgam,27
2012,jammu&kashmir,budgam,15
2013,jammu&kashmir,budgam,13
2001,uttarpradesh,bulandshahar,219
2002,uttarpradesh,bulandshahar,104
2003,uttarpradesh,bulandshahar,98
2004,uttarpradesh,bulandshahar,114
2005,uttarpradesh,bulandshahar,116
2006,uttarpradesh,bulandshahar,150
2007,uttarpradesh,bulandshahar,120
2008,uttarpradesh,bulandshahar,74
2009,uttarpradesh,bulandshahar,24
2010,uttarpradesh,bulandshahar,0
2011,uttarpradesh,bulandshahar,0
2012,uttarpradesh,bulandshahar,2
2013,uttarpradesh,bulandshahar,2
2001,maharashtra,buldhana,21
2002,maharashtra,buldhana,21
2003,maharashtra,buldhana,26
2004,maharashtra,buldhana,33
2005,maharashtra,buldhana,40
2006,maharashtra,buldhana,41
2007,maharashtra,buldhana,31
2008,maharashtra,buldhana,39
2009,maharashtra,buldhana,55
2010,maharashtra,buldhana,40
2011,maharashtra,buldhana,24
2012,maharashtra,buldhana,35
2013,maharashtra,buldhana,66
2001,rajasthan,bundi,6
2002,rajasthan,bundi,3
2003,rajasthan,bundi,0
2004,rajasthan,bundi,3
2005,rajasthan,bundi,0
2006,rajasthan,bundi,0
2007,rajasthan,bundi,0
2008,rajasthan,bundi,0
2009,rajasthan,bundi,0
2010,rajasthan,bundi,0
2011,rajasthan,bundi,0
2012,rajasthan,bundi,1
2013,rajasthan,bundi,0
2001,westbengal,burdwan,0
2002,westbengal,burdwan,0
2003,westbengal,burdwan,0
2004,westbengal,burdwan,2
2005,westbengal,burdwan,0
2006,westbengal,burdwan,0
2007,westbengal,burdwan,1
2008,westbengal,burdwan,2
2009,westbengal,burdwan,9
2010,westbengal,burdwan,0
2011,westbengal,burdwan,0
2012,westbengal,burdwan,0
2013,westbengal,burdwan,0
2001,bihar,buxar,0
2002,bihar,buxar,0
2003,bihar,buxar,0
2004,bihar,buxar,0
2005,bihar,buxar,0
2006,bihar,buxar,0
2007,bihar,buxar,0
2008,bihar,buxar,0
2009,bihar,buxar,0
2010,bihar,buxar,1
2011,bihar,buxar,0
2012,bihar,buxar,0
2013,bihar,buxar,0
2001,assam,c.i.d.,0
2002,assam,c.i.d.,0
2003,assam,c.i.d.,0
2004,assam,c.i.d.,0
2005,assam,c.i.d.,0
2006,assam,c.i.d.,0
2007,assam,c.i.d.,0
2008,assam,c.i.d.,0
2009,assam,c.i.d.,0
2010,assam,c.i.d.,0
